,births_2020_21,deaths_2020_21,state_name_2016,,,
,338,56,Victoria,,,
,449,68,Victoria,,,
,533,21,Victoria,,,
,155,111,Victoria,,,
,57,25,Victoria,,,
,109,69,Victoria,,,
,54,26,Victoria,,,
,81,37,Victoria,,,
,155,98,Victoria,,,
,64,34,Queensland,,,
,119,92,Victoria,,,
,46,11,Victoria,,,
,139,58,Queensland,,,
,123,151,Victoria,,,
,268,196,Victoria,,,
,144,101,Victoria,,,
,88,107,Victoria,,,
,60,40,Victoria,,,
,136,98,Victoria,,,
,215,146,Victoria,,,
,209,136,Victoria,,,
,59,69,Victoria,,,
,130,27,Victoria,,,
,156,138,Victoria,,,
,63,25,Victoria,,,
,104,94,Victoria,,,
,210,48,Victoria,,,
,180,51,Victoria,,,
,135,92,Victoria,,,
,82,64,Victoria,,,
,61,32,Queensland,,,
,74,120,Victoria,,,
,148,36,Victoria,,,
,105,41,Victoria,,,
,144,111,Victoria,,,
,41,55,Queensland,,,
,74,92,Victoria,,,
,286,117,Victoria,,,
,73,39,Victoria,,,
,144,49,Victoria,,,
,122,42,Victoria,,,
,101,30,Victoria,,,
,84,33,Victoria,,,
,381,94,Victoria,,,
,462,169,Victoria,,,
,132,36,Victoria,,,
,195,179,Victoria,,,
,372,57,Victoria,,,
,256,151,Queensland,,,
,302,52,Victoria,,,
,112,79,Victoria,,,
,169,75,Victoria,,,
,129,103,Victoria,,,
,143,66,Victoria,,,
,352,71,Victoria,,,
,47,66,Victoria,,,
,392,88,Victoria,,,
,160,86,Queensland,,,
,195,87,Victoria,,,
,283,85,Victoria,,,
,1242,157,Victoria,,,
,97,104,Victoria,,,
,169,64,Victoria,,,
,441,196,Victoria,,,
,163,37,Victoria,,,
,236,151,Victoria,,,
,82,75,Victoria,,,
,340,129,Victoria,,,
,82,46,Victoria,,,
,237,157,Victoria,,,
,113,86,Victoria,,,
,200,93,Victoria,,,
,110,82,Victoria,,,
,255,139,Victoria,,,
,211,148,Victoria,,,
,174,133,Victoria,,,
,132,123,Victoria,,,
,145,77,Queensland,,,
,111,126,Victoria,,,
,135,167,Victoria,,,
,187,145,Victoria,,,
,262,147,Victoria,,,
,100,33,Victoria,,,
,98,208,Victoria,,,
,95,68,Victoria,,,
,119,51,Queensland,,,
,358,85,Victoria,,,
,81,66,Victoria,,,
,136,88,Victoria,,,
,160,67,Victoria,,,
,276,117,Victoria,,,
,186,123,Victoria,,,
,138,67,Victoria,,,
,142,92,Victoria,,,
,76,39,Queensland,,,
,215,134,Victoria,,,
,131,111,Victoria,,,
,159,94,Victoria,,,
,110,59,Victoria,,,
,226,139,Victoria,,,
,189,148,Victoria,,,
,227,173,Victoria,,,
,210,75,Victoria,,,
,301,90,Victoria,,,
,50,14,Victoria,,,
,132,33,Victoria,,,
,119,85,Victoria,,,
,251,106,Victoria,,,
,669,160,Victoria,,,
,58,60,Victoria,,,
,312,64,Victoria,,,
,323,26,Victoria,,,
,194,33,Victoria,,,
,71,9,Victoria,,,
,191,43,Victoria,,,
,207,93,Victoria,,,
,194,71,Victoria,,,
,261,205,Victoria,,,
,161,33,Victoria,,,
,1031,73,Victoria,,,
,782,36,Victoria,,,
,50,38,Queensland,,,
,199,171,Victoria,,,
,555,81,Victoria,,,
,81,80,Queensland,,,
,306,32,Victoria,,,
,259,60,Victoria,,,
,287,15,Victoria,,,
,213,177,Victoria,,,
,420,62,Victoria,,,
,289,130,Victoria,,,
,239,165,Victoria,,,
,84,53,Queensland,,,
,155,171,Victoria,,,
,289,99,Victoria,,,
,239,96,Victoria,,,
,146,44,Victoria,,,
,99,121,Victoria,,,
,36,31,Victoria,,,
,266,173,Victoria,,,
,180,343,Victoria,,,
,195,318,Victoria,,,
,96,79,Victoria,,,
,23,29,Victoria,,,
,55,87,Victoria,,,
,119,116,Victoria,,,
,53,57,Victoria,,,
,76,63,Queensland,,,
,129,138,Victoria,,,
,173,152,Victoria,,,
,57,60,Victoria,,,
,42,31,Queensland,,,
,217,129,Victoria,,,
